"id","videoId","titulo","canal","clase","vistas","grado","betweenness","closeness","comunidad"
"78","YCcwpnriRNo","México Social - Salud mental en México: desafíos y perspectivas (23/04/2025)","Otro","Informal",1692,5,0,0.00743968940112099,1
"79","YNJLKbAJ3JU","💡 Oxitocina: el remedio olvidado para la salud mental","Otro","Informal",86668,5,0,0.00743968940112099,1
"80","ZFfJhmdSAGE","¿Por qué es importante la salud mental?","Otro","Informal",1888,6,1.66666666666667,0.0660730968567754,8
"81","ZOJwlHXGfjU","Documental: &quot;cerro s/n, Centro de salud mental de Nueva Imperial&quot;","Otro","Informal",24521,5,0,0.00743968940112099,1
"82","ZPwlbO2ejiE","Ep 66- La experta en salud mental Marian Rojas Estapé explica cómo el “scroll infinito” afecta","Otro","Informal",10197,9,1.33333333333333,0.11527772402473,5
"83","_CSTx4Nr_ps","VIDEO: Manejo de crisis de salud mental","Otro","Informal",6790,5,0,0.0590156582780981,8
"84","_IczNStHXbc","Organiza Tus Finanzas y Mejora tu Salud Mental 💸- Inteligencia Emocional","Otro","Informal",287,5,0,0.00743968940112099,1
"85","a3PH7RmvyV4","Curso Salud Mental - Clase 1","Otro","Informal",166,5,0,0.00743968940112099,1
"86","aK9pqk9W94M","El Orden y La Salud Mental - 4 Cosas Para Vivir Mejor","Otro","Informal",259289,5,0,0.00743968940112099,1
"87","abUn39uEflc","mi salud mental mejora cuando logró tener ese tiempo para salir a caminar. #dicaariza #saludmental","Otro","Informal",1123,5,0,0.111408026196214,6
"88","bmVd-Ed_AV4","CHILE en TERAPIA: RADIOGRAFÍA a la SALUD MENTAL| Psicolocos 😵‍💫","Otro","Informal",40256,5,0,0.00743968940112099,1
"89","btvQDr9Fxy8","¿Te borrarías Instagram por salud mental? | Gen Playz","Otro","Informal",63902,5,0,0.00743968940112099,1
"90","cbMSOid5_OY","Salud Mental - Benyah x @rayxmusica  (Video Concept)","Música","Informal",1629,5,0,0.0551650215081901,8
"91","d4kTmRiuwFM","Cuidando la salud mental | Video para niños de preescolar","Otro","Informal",39035,5,0,0.0551650215081901,8
"92","dXPQEczZvi8","Si no haces esto destruirás tu salud mental","Otro","Informal",156941,5,0,0.00743968940112099,1
"93","elNkRQF1itA","Establecer límites es cuidar tu salud mental #Saludablemente #LímitesSanos #RelacionesSaludables","Otro","Informal",1175,5,0,0.00743968940112099,1
"94","f0B94bVSCF4","recuperando el balanceee⭐️ (y mi salud mental) #marianacantu #shorts","Otro","Informal",1585,5,0,0.00743968940112099,1
"95","fXjzsw4K_KU","Cómo olvidar a tu ex sin sufrir más (lo que nadie te dice)#anxiety #mindfulness #ansiedad #amor","Otro","Informal",97,5,0,0.0197639672390158,7
"96","gJfMM5YXt2I","SALUD MENTAL: Afirmaciones Positivas para Sanar Emocionalmente | Bienestar Psicológico y Físico","Otro","Informal",110248,7,0,0.0219763841236299,3
"97","hv3_6zDGfgg","La Breve: claves para cuidar su salud mental","Otro","Informal",329,5,0,0.00743968940112099,1
"98","iHY7cyTzUGQ","😲👀 ¿Qué tanto sabes sobre salud mental? 🤔🧠 | Tu Salud Guía","Otro","Informal",2407,7,0,0.0219763841236299,3
"99","iNYIUqP3438","¿Qué relación tiene la alimentación en la salud mental? | Sana Mente","Otro","Informal",35775,5,0,0.00743968940112099,1
"100","iPZUrfBsGG8","056. Salud mental y enfermedades crónicas.","Otro","Informal",388,5,0,0.00743968940112099,1
"101","iXjWBuX7qpE","SALUD MENTAL en HOMBRES ¿por qué les cuesta tanto? Parte 2 | Martha Debayle","Otro","Informal",52952,5,0,0.00743968940112099,1
"102","ifxpCTCliJE","HISTORIA DE LA SALUD MENTAL","Otro","Informal",6876,5,0,0.00743968940112099,1
"103","ipNPPgNYRH8","ORACION POR LA SALUD MENTAL #oracion #oración #saludmental #saludemocional","Otro","Informal",659,6,16,0.0266132737956286,7
"104","jj-K8DS9IKU","El ejercicio físico nos ayuda con la salud mental","Otro","Informal",74221,5,0,0.00743968940112099,1
"105","jprJhQ43f9U","Salud Mental #psicologia #ansiedad #reflexiones #saludmental","Otro","Informal",2341,6,64,0.0262992277447933,7
"106","kckMb0aUy08","Mesa especial: salud mental en sacerdotes | Hoy quiero hablarte","Otro","Informal",514,5,0,0.00743968940112099,1
"107","kdsSOaU-aak","Podcast Episodio 15 - La salud mental en la #PolicíaEcuador","Podcast","Informal",182,5,0,0.00743968940112099,1
"108","knxCEAKnywA","Tu salud mental está en juego | Victor Küppers #shorts","Otro","Informal",36819,5,0,0.00743968940112099,1
"109","lVZI8YWsXlU","¿Sabes que la salud mental está relacionada con las adicciones?","Otro","Informal",100839,5,0,0.00743968940112099,1
"110","mHNcmpGFjq4","Yo También Tenia PROBLEMAS de Salud Mental, Antes De Empezar a Buscar AYUDA  [Marian Rojas] ¡NUEVO!","Otro","Informal",1191030,5,3,0.0606169337822549,8
"111","mKA8HbMvI2M","V. Completa. Criar con salud mental. María Velasco, psiquiatra infantojuvenil","Otro","Informal",651070,5,0,0.0194541808653587,7
"112","mlMmn3geTKU","OLA DE CALOR | El calor extremo afecta gravemente a la salud mental","Otro","Informal",1056,6,0.2,0.166666666666667,4
"113","n4rX912EvFo","Descubre el poder de la respiración para sentirte mejor","Otro","Informal",391,5,0,0.0087115323199839,1
"114","nTB0w9tyNtc","Más allá del rosa- ¿Qué hago con mi ansiedad y mis traumas? con Fabiola Cuevas","Otro","Informal",298847,6,0.25,0.0199290965051105,7
"115","om9IPlTNSwk","Cuando la salud mental es hasta más importante que la física al buscar pareja. La Dra. Amor aconseja","Otro","Informal",163,5,0,0.00743968940112099,1
"116","oxdAz2FuoHE","Robert Enke y la importancia de la salud mental #robertenke #saludmental #elefutbol","Otro","Informal",525149,6,1,0.128260793865598,2
"117","q0WbKHajXsQ","La importancia de la salud mental en las relaciones de pareja","Otro","Informal",263,5,0,0.11997067633965,2
"118","qc6siUcLNvs","🚨 RICARDO PERALTA: Mi SALUD MENTAL se ROMPIÓ 🤯 | #Diagnóstico 113 | Mr Doctor","Otro","Informal",701452,6,0.2,0.166666666666667,4
"119","qyVzwTcm4pQ","Salud mental psicoespiritual @humanizadoscolombia  ​","Otro","Informal",949,5,0,0.00743968940112099,1
"120","r9ltvNVnA98","¿Cómo Cuidar tu Salud Mental si Eres Cristiano? (Ansiedad, Depresión, etc) // +Salud // Carlos Erazo","Religioso","Informal",375355,5,64,0.0254343404289916,7
